chunk_id,chunk_text,chunk_length,manual_it_spend_tag,manual_relevant_text,gpt-4.1-nano_Information Technology_tag,gpt-4.1-nano_Information Technology_tag_confidence,gpt-4.1-nano_Information Technology_tag_relevant_section,gpt-4.1-mini_Information Technology_tag,gpt-4.1-mini_Information Technology_tag_confidence,gpt-4.1-mini_Information Technology_tag_relevant_section
0,"So, this is the core budget. This funds everything except Medicaid fraud compliance and our safe kit. Absent any questions, I'll move to page 18. This is an NDI for our Public Protection and Criminal Appeals Division. Last year, we had 473 appeals. We filed 412 briefs, argued more than 100 cases in the Missouri Court of Appeals and the Missouri Supreme Court. As of January 1st, 2025, we've got 1,367 pending appeals. As this body knows, we handle 100% of felony appeals. Cops catch bad guys,",494,False,,False,1,"So, this is the core budget. This funds everything except Medicaid fraud compliance and our safe kit. Absent any questions, I'll move to page 18. This is an NDI for our Public Protection and Criminal Appeals Division. Last year, we had 473 appeals. We filed 412 briefs, argued more than 100 cases in the Missouri Court of Appeals and the Missouri Supreme Court. As of January 1st, 2025, we've got 1,367 pending appeals. As this body knows, we handle 100% of felony appeals.",False,5,
1,"100% of felony appeals. Cops catch bad guys, prosecutors lock them up, and then we defend those convictions on appeal on behalf of the state. So the volume and workload has increased over time. We have special prosecutors that prosecute across the state of Missouri. They civilly commit sexually violent predators. Most of the cases that we were involved in at the trial court level are child sex cases, sexual assault cases, and murders, so we're putting the worst of the worst away. In 2024, we",496,False,,False,2,"100% of felony appeals. Cops catch bad guys, prosecutors lock them up, and then we defend those convictions on appeal on behalf of the state. So the volume and workload has increased over time. We have special prosecutors that prosecute across the state of Missouri. They civilly commit sexually violent predators. Most of the cases that we were involved in at the trial court level are child sex cases, sexual assault cases, and murders, so we're putting the worst of the worst away. In 2024, we",False,5,
2,"putting the worst of the worst away. In 2024, we had cases in 28 different counties across the state, 130 counts, convicted five murders, and this is really about supporting some of our rural prosecutors, many of whom are still part-time. So it's a state resource that we deploy in the fight against violent crime. And leads have increased in those NDI. Moving to page 13, this is our Government Affairs and Litigation and Employment Law section. As this body recalls, we split out our employment",496,False,,False,2,,False,5,
3,"As this body recalls, we split out our employment law attorneys. Deep analysis revealed that 65% of our civil cases against the state are employment law actions against the state agencies. As those state agencies have grown, as our constitutional amendment has added a state agency, our liability has increased. Those cases have also become more complex in that there are more public interest groups filing more class actions lawsuits against the state today. And so as those operational needs",493,False,,False,2,,False,5,
4,"state today. And so as those operational needs change and grow because of the complexity of litigation grows and the number of cases grows, we need to meet those operational needs. I want to point out that in our civil defense section, a new mentorship program has allowed us to obtain seven complete defense verdicts in employment law actions against the state that saved the state north of $50 million. Additionally, we had 12 cases that we were able to get dismissed before they even got to",493,False,,False,2,,False,5,
5,"able to get dismissed before they even got to trial, either a dispositive motion on the pleadings or summary judgment. Again, that's an enormous savings to the public fisc. We've got in governmental affairs right now, we typically run about 1300 cases per year. This year, we've got 1500 cases. So you've seen an increase in growth in those cases. We've also seen a 10 to 15% increase in our caseload in our litigation section. But one win that I want to point out there is our defense of the tort",497,False,,False,1,"The passage discusses legal proceedings, case load increases, and case dismissals, but does not mention or refer to Information Technology.",False,5,
6,"to point out there is our defense of the tort victims compensation fund, where we save the state $124 million by winning that case. Barring questions in our civil section. Moving to tab 16. This is our consumer protection division. As this body will recall, two years ago, I requested a nominal increase in our appropriations authority out of the merchandising practices revolving fund in order to fund six additional FTE that were already on the books in our consumer division that's ramped up our",498,False,,True,4,"This is our consumer protection division. As this body will recall, two years ago, I requested a nominal increase in our appropriations authority out of the merchandising practices revolving fund in order to fund six additional FTE that were already on the books in our consumer division that's ramped up our",False,5,
7,"in our consumer division that's ramped up our consumer protection work. I would point out also that the nature of consumer protection work has changed over time in the 1990s. What we typically saw were individual entities that were regionally isolated, that were defrauding Missouri consumers. Now we see more complex scams involving electronic means of communication. So again, you see a broader and more complex caseload within our consumer division. This body approved a nominal increase in",493,False,,True,4,"in our consumer division that's ramped up our consumer protection work. I would point out also that the nature of consumer protection work has changed over time in the 1990s. What we typically saw were individual entities that were regionally isolated, that were defrauding Missouri consumers. Now we see more complex scams involving electronic means of communication. So again, you see a broader and more complex caseload within our consumer division.",True,4,Now we see more complex scams involving electronic means of communication.
8,"This body approved a nominal increase in approvals authority out of the NPRF. My first year in office, first year in office, we recovered 32 million in settlements and judgments on behalf of the state. You funded six additional FTE that were already on the books. Return on the investment this last year was recovered north of $400 million in settlements and judgments on behalf of the state. So proud of the work we're doing in our consumer tech protection division. This is not general revenue.",496,False,,True,4,We recovered 32 million in settlements and judgments on behalf of the state. You funded six additional FTE that were already on the books. Return on the investment this last year was recovered north of $400 million in settlements and judgments on behalf of the state. So proud of the work we're doing in our consumer tech protection division.,False,5,
9,"protection division. This is not general revenue. Attorney General, when you give us those numbers, how long does it take the state probably in many cases to actually end up seeing those dollars and are we continuing to go to court and I'm not planning this for my own knowledge. Yeah. Wonder 400 million and it might take us 40 years to get the 400. It might take several years. I would say, you know, two to four years on average and that's an anecdotal estimation. But we we expedite specifically",499,False,,False,2,"protection division. This is not general revenue. Attorney General, when you give us those numbers, how long does it take the state probably in many cases to actually end up seeing those dollars and are we continuing to go to court and I'm not planning this for my own knowledge. Yeah. Wonder 400 million and it might take us 40 years to get the 400. It might take several years. I would say, you know, two to four years on average and that's an anecdotal estimation. But we we expedite specifically",False,4,
10,"estimation. But we we expedite specifically individual recovery for individual Missouri consumer victims. Missouri's first before. Thank you, sir. Barring any other questions, moving to tab 919. This is our labor division. So 10 years. Yeah, I believe it's actually it was in 2014. The General Assembly changed the statute as it relates to disability. So no longer a claim. Can you can claimants make claims for partial permanent disability? Now the only claim is full permanent disability based on",498,False,,False,2,"estimation. But we we expedite specifically individual recovery for individual Missouri consumer victims. Missouri's first before. Thank you, sir. Barring any other questions, moving to tab 919. This is our labor division. So 10 years. Yeah, I believe it's actually it was in 2014. The General Assembly changed the statute as it relates to disability. So no longer a claim. Can you can claimants make claims for partial permanent disability? Now the only claim is full permanent disability based on",False,5,
11,"only claim is full permanent disability based on seven enumerate statutory enumerated factors. When you change a statute, you wash away a sentiment of case law that interpreted the previous statute. Thus we're doing more appellate work because all of these cases using those seven enumerated factors get appealed and those are cases of first impression. So my labor division is doing more work on the appellate side as the courts interpret the new statute that's now been in place for about 10",493,False,,True,4,So my labor division is doing more work on the appellate side as the courts interpret the new statute that's now been in place for about 10,False,5,
12,"new statute that's now been in place for about 10 years. So we're just trying to catch up with that. Barring any questions on our labor section, moving to tab 22. This is our solicitor office. This is the top appellate attorneys in the state that defend the statutes enacted by the Missouri General Assembly. Barring any questions on solicitor's office. Moving to page 2025. This is the governor's retention schedule for which we are supportive. We have seen and we've seen a symbiotic relationship",498,False,,False,2,,False,5,
13,"have seen and we've seen a symbiotic relationship between recruitment, retention and mentorship. Those have all helped improve our staffing levels. We were hovering at a 25% vacancy rate. When I took over, we've reduced that down to single digits feel like we're pretty close to fully staffed, even though that's a somewhat of a moving target. Retention is the next piece. When I took over, we had a lot of privates and a lot of lieutenants, not a lot of sergeants. In 2022, about 67 attorneys left",498,False,,False,2,"have seen and we've seen a symbiotic relationship between recruitment, retention and mentorship. Those have all helped improve our staffing levels. We were hovering at a 25% vacancy rate. When I took over, we've reduced that down to single digits feel like we're pretty close to fully staffed, even though that's a somewhat of a moving target. Retention is the next piece. When I took over, we had a lot of privates and a lot of lieutenants, not a lot of sergeants. In 2022, about 67 attorneys left",False,5,
14,"of sergeants. In 2022, about 67 attorneys left the office. 2023, we stabilized about 44 attorneys left the office. I'm proud to say last year, we only had 20 attorneys leave the office. And again, that's a direct directly attributable to our ability to recruit talent, and thus manage a better caseload for our attorneys. And then our mentorship program that has resulted in those seven complete defense verdicts. It's an innovative first of its kind in the nation. We're providing better training",497,False,,False,2,"of sergeants. In 2022, about 67 attorneys left the office. 2023, we stabilized about 44 attorneys left the office. I'm proud to say last year, we only had 20 attorneys leave the office. And again, that's a direct directly attributable to our ability to recruit talent, and thus manage a better caseload for our attorneys. And then our mentorship program that has resulted in those seven complete defense verdicts. It's an innovative first of its kind in the nation. We're providing better training",False,5,
15,"in the nation. We're providing better training and mentorship for our attorneys, which is causing them to stay longer and work harder. Thank you. Thank you for bringing this up. Mr. Attorney General, I actually had some questions just a little bit about recruitment and retention. You brought that up in your opening statements. And then as well as we go through these NDIs, we see here often that the need for to fill those current FTS and that's the ask of the salary increase. So help me out in",497,False,,False,2,,False,4,
