chunk_id,chunk_text,manual_Information Technology_tag,manual_relevant_text,gpt-4.1-mini_Information Technology_tag,gpt-4.1-mini_Information Technology_tag_relevant_section,Transcript
7,"in our consumer division that's ramped up our consumer protection work. I would point out also that the nature of consumer protection work has changed over time in the 1990s. What we typically saw were individual entities that were regionally isolated, that were defrauding Missouri consumers. Now we see more complex scams involving electronic means of communication. So again, you see a broader and more complex caseload within our consumer division. This body approved a nominal increase in",False,,True,Now we see more complex scams involving electronic means of communication.,ded
46,"to the NDI on page 18 for $355,000 fund switch from federal dollars to GR. Five FTE, these five FTE are currently unfunded and they will be positions that will fill in Kansas City, St. Louis, Central, North, and Southwest Missouri. If you turn to page 45, the NDI is not recommended by the governor, so let's turn to page 84, this is an NDI for CHIP semiconductor, restoring funding as ongoing instead of one time. If you turn to page 113, this is a core reduction for the Community Development",True,"so let's turn to page 84, this is an NDI for CHIP semiconductor, restoring funding as ongoing instead of one time.",False,,ded
63,"talking about that how it jumped up in 2024 to from 2023 the So we there was twelve and a half million in lapse in 2023 and then back to one and a half million which it was closer to the Sort of within a million. Anyway, that was due to switch over vendors During That time frame so we had one vendor and then we switched to a new vendor and so there were some carryover expenses That along went along with that Plus some billing things some timing of the the timing of the payments for that",False,,True,... switch over vendors During That time frame so we had one vendor and then we switched to a new vendor and so there were some carryover expenses That along went along with that Plus some billing things some timing of the the timing of the payments for that,dss-non-medicaid-pt2
124,"TNF funding, and it focuses on self-sufficiency by overcoming homelessness, and it is targeted towards veterans, high school dropouts, at-risk youth, and single parents. Page 627 is MoCan. That one is also in St. Louis. It is $500,000 in TNF funds. It is a pre-apprenticeship program for construction, and they include OSHA 10, and training on blueprint drawings. Page 633 is Mission St. Louis, obviously in St. Louis. It's $2 million in TNF funds. And this is a governor's recommendation as a new",False,,True,"It is a pre-apprenticeship program for construction, and they include OSHA 10, and training on blueprint drawings.",dss-non-medicaid-pt2
131,"this funding is providing the money for child care. Okay, I'm good. All right, that is it for book three. We will now move on to book four. Okay, page 640 though, right? Okay, all right, page 640 is the Megan Meyer Foundation, that is in St. Charles. It was funded as one time in 24 and 25 with TNF of $350,000. It was core cut, it's a public campaign on suicide and cyber bullying awareness. On page 645 is the Guadalupe Center, that's a new decision item from the governor for $5 million in TNF,",False,,True,a public campaign on suicide and cyber bullying awareness,dss-non-medicaid-pt2
132,"item from the governor for $5 million in TNF, so it provides reduced and free tuition assistance in fields such as IT, health care, logistics, service, careers, manufacturing, and construction. It serves Latino communities in Kansas City by operating charter schools, early childhood services, family support, older adult programs, youth development, and workforce development programs, and that was in Kansas City. So this is a, this recommendation is for ongoing funding, it's not one time? I",False,,True,"...it provides reduced and free tuition assistance in fields such as IT, health care, logistics, service, careers, manufacturing, and construction.",dss-non-medicaid-pt2
143,"item will allow for increased services, so the previous page is 4,500 software programmers. Of course, the 3.5 million isn't going to satisfy a 55,000 K salary, so where are these misplaces at? The 4,500, where's the shortage at? And then, as a new decision item, it looks like we're increasing some kind of services that's already applied, so I'm a little confused. So, I am aware that Access Point does already exist, just because I googled it, otherwise I don't know that I would have known, but",False,,True,"...the previous page is 4,500 software programmers... Access Point does already exist...",dss-non-medicaid-pt2
218,"them as like LFPA providers, like what does that technical assistance look like? Can you tell me what page you're on please? It was in a program book, 445, I don't know if you have it in front of you or not, but I would imagine it must be rolled into like the administrative cost of whatever you all spend in administration. Okay, so the first part goes through the TFAB and food distribution. So like the second to last paragraph. Okay, yeah, so DSS is responsible for providing ongoing technical",False,,True,DSS is responsible for providing ongoing technical assistance,dss-non-medicaid-pt2
261,"that you want, because we do have that on all of our programs. No, I think I just wanna know that there's somebody, someone who's looking at that particular program, whichever one it is, and again, that we're getting results for the millions and millions of dollars that we're spending on that. Right, and we have units that are split. So I have a unit that only does data, I have a unit that does monitoring, I have a unit that does invoicing, I have a unit that does training. So they're each",False,,True,"I have a unit that only does data, I have a unit that does monitoring, I have a unit that does invoicing, I have a unit that does training.",dss-non-medicaid-pt2
293,"throughout the state. This would help us get six Uh six staff that would be selected just to do this job and take someof that work off the field staff. On page 904 in box 4 there it says CD is requesting FTE to hire additional health information specialists. How many health information specialists, how many FTE do we currently have within CD? Do you know that? I do not know off the top of my head but I can get back with you on that. Okay, we'd be curious to know what that number is and then",False,,True,On page 904 in box 4 there it says CD is requesting FTE to hire additional health information specialists.,dss-non-medicaid-pt2
314,2.8 GR. These staff specialize in helping coordinate the team decision-making model. These are where we bring in multiple different individuals and agencies that are involved with the case to makeone team decision-making and the best choice for the kid. Yeah and this is these last three have been part of that hundred so you got the 20 the 2020. All right all right next page is the FACES replacement page 932 are the CWIS which is the the federal name the Comprehensive Child Welfare Information,False,,True,FACES replacement page 932 are the CWIS which is the the federal name the Comprehensive Child Welfare Information,dss-non-medicaid-pt2
318,decades and running so that's something where we want to look at what are the other options what states we don't want to be a guinea pig state for a COTS solution to be approved by Child and Family Services federal level so what does that mean effectively as in like are we worried about the the IT solution itself and its applicability or its usability or we worried about the federal match participation or both both both okay well yeah I don't that sounds terrible if it's we're not confident on,False,,True,are we worried about the the IT solution itself and its applicability or its usability,dss-non-medicaid-pt2
320,thank you I was just inquiring around who's leading this is this an ITSD led review or implementation or is this within the department all of the IT projects are joined so we will have a it will be a actual OA contract at the time but we our staff have been working together there's an IT project manager and then there is a point of contact lead at the Social Services Department and Children's Division ultimately I think when you're implementing a project like this it always comes back to the,False,,True,all of the IT projects are joined so we will have a it will be a actual OA contract at the time but we our staff have been working together there's an IT project manager and then there is a point of contact lead at the Social Services Department and Children's Division ultimately I think when you're implementing a project like this,dss-non-medicaid-pt2
321,a project like this it always comes back to the department who owns the system who has really the responsibility IT is our support away IT is our support in implementing and they have a lead but we have the ultimate responsibility so does that mean that DSS will be signing off on each of the program gates to include that we've mapped all of our work processes that we have all the user tests and system tests all identified and authorizing payment to any vendor that we select that would be,False,,True,a project like this it always comes back to the department who owns the system who has really the responsibility IT is our support away IT is our support in implementing and they have a lead but we have the ultimate responsibility,dss-non-medicaid-pt2
322,to any vendor that we select that would be correct so we make those when in any IT project we develop those milestones that they have to meet in terms of user accepts and user acceptance testing why can't I say that right now you wait for our UAT training it's it's past that time and any of the other deliverables around that and then that is something the department signs off on ultimately away can review that but we would send payment out only after that milestone has been demonstrated got it,False,,True,in any IT project we develop those milestones that they have to meet in terms of user accepts and user acceptance testing,dss-non-medicaid-pt2
323,after that milestone has been demonstrated got it yeah we just we can improve our hit rate as a state on some of our IT system improvements and I think it's really important that we collaborate together I think we've got some good teammates over at ITSD but want to make sure that we're leveraging their knowledge and experience because we've got a recent example on our childcare payment system that well we could have done a lot better I think I just want to make sure that something as large as,False,,True,we can improve our hit rate as a state on some of our IT system improvements and I think it's really important that we collaborate together I think we've got some good teammates over at ITSD but want to make sure that we're leveraging their knowledge and experience because we've got a recent example on our childcare payment system that well we could have done a lot better,dss-non-medicaid-pt2
324,just want to make sure that something as large as our Medicaid program that we're not paying all GR because we had too much pride in our departments in our ITSD group and one of the things I'll talk about is just the reality of something I talked about the beginning very briefly and that I wanted to take a step back on larger IT projects when you have the consolidation of oh a IT a decade ago I want to belabor this point because it is very late and what you had was departments had to create,False,,True,...too much pride in our departments in our ITSD group and one of the things I'll talk about is just the reality of something I talked about the beginning very briefly and that I wanted to take a step back on larger IT projects when you have the consolidation of oh a IT a decade ago...,dss-non-medicaid-pt2
325,and what you had was departments had to create their own project management teams internally in order to make sure this goes well some have had more flexibility and in time to do that over the years some have not so you'll see it like mental health is a little bit further along but it social services we need a little bit more IT internal infrastructure to support this thank you mr. chair what is the new timeline or is there one or is it indeterminate at this period in time because I think if we,False,,True,some have not so you'll see it like mental health is a little bit further along but it social services we need a little bit more IT internal infrastructure to support this,dss-non-medicaid-pt2
327,were taking taken with this and we thought we'd be further along but we you know because there's been different options thrown out and so I think in looking at it I don't know if I can give you a timeline today on where we'll be because a lot it depends on on what options and in what kind of approach we take with this whether it be an RFP or NASBA or things like that I think originally when we talked to you I think there was some idea that was from COTS but I think as they got down some of,False,,True,there's been different options thrown out and so I think in looking at it I don't know if I can give you a timeline today on where we'll be because a lot it depends on on what options and in what kind of approach we take with this whether it be an RFP or NASBA or things like that I think originally when we talked to you I think there was some idea that was from COTS,dss-non-medicaid-pt2
454,phones for foster children and youth we did have some sort of mishaps with this program along the way trying to figure out the right path around this and what the legislative intent we have worked with the representative and some of the sponsors around this I think we have a quick way to access and get a RFP out the door we're also looking at see if there's some community partners that we can provide to send these phones and what this is is provide cell phones to foster care kids who are aging,False,,True,phones for foster children and youth ... provide cell phones to foster care kids who are aging,dss-non-medicaid-pt2
455,cell phones to foster care kids who are aging out of the system one of the things that trust me I got kids in college I know is these kids will need cell phones to keep their connections they will need it for schooling everything from there there's a specific program this was kind of designed around that not only will provide them with cell phones there's some security free features on that it enables us to push out alerts and message to kids and maybe keeps that child safer because you know,False,,True,cell phones to foster care kids who are aging out of the system one of the things that trust me I got kids in college I know is these kids will need cell phones to keep their connections they will need it for schooling everything from there there's a specific program this was kind of designed around that not only will provide them with cell phones there's some security free features on that it enables us to push out alerts and message to kids and maybe keeps that child safer because you know,dss-non-medicaid-pt2
459,"like oh we have to do this and no I think there was a couple different thoughts around because it is for cell phones for these kids I think people had different ideals on what they approach and missing that there were some a set technology sort of program that was wanted here and so we will do a WPR anybody that can provide that set type of technology I can do it but I think what we missed wasIt's not just the phone and the provider that we're looking for, it's that technology where we can push",False,,True,"it's not just the phone and the provider that we're looking for, it's that technology where we can push",dss-non-medicaid-pt2
260,"is. Is it number of students who have done X, Y, and Z? Or is it number of people that have received domestic violence services? Or is it increased wages because of employment and training? So my staff are, the ones I've talked about, my staff are overseeing those programs. I have a team that does programmatic monitoring, I have a team that does data. And we require reports from participants, and I'm happy to provide you anything and everything that you want, because we do have that on all of",True,"I have a team that does programmatic monitoring, I have a team that does data.",False,,dss-non-medicaid-pt2
140,"in St. Louis. This is also a TANF block grant. It helps students from underrepresented, underrepresented communities transfer from high school to software development careers in less than a year. So, I'd have the same questions, but I'm not going to ask them again, but, you know, and you, you know, I'm sure that the answer would be the same as to it's ongoing, can it support it, and it'd be the same answer, so I, we don't have to go over that again, but to the extent you have any additional",True,"It helps students from underrepresented, underrepresented communities transfer from high school to software development careers in less than a year.",True,"It helps students from underrepresented, underrepresented communities transfer from high school to software development careers in less than a year.",dss-non-medicaid-pt2
291,"be uh later on in the section You'll see Some of those broken out so we can kind of highlight those when we get there on the family centered services staff the team decision making um Do what? And the prevention staff, um, so yeah, those are Mostly hired and and working out there Okay very good and Are there any additional questions? Are there any questions on this ndi specifically? Okay. Thank you. You may proceed All right. Next section is the health information specialist six staff in four",True,Next section is the health information specialist six staff,True,Next section is the health information specialist six staff in four,dss-non-medicaid-pt2
307,"do BSW programs like this, and we have, currently have an MSW program, and actually the state of Missouri did a similar program, a BSW program, years prior, and then our landscape changed, and so we no longer supported the BSW program and moved only to the MSW. So this is really bringing back something we've done previously. Thank you. All right, next line is a new decision item to expand the CARE portal. So the CARE portal is, it's a platform that basically, it helps connect a lot of our",True,"All right, next line is a new decision item to expand the CARE portal. So the CARE portal is, it's a platform that basically, it helps connect",True,"...a new decision item to expand the CARE portal. So the CARE portal is, it's a platform that basically, it helps connect a lot of our...",dss-non-medicaid-pt2
315,name the Comprehensive Child Welfare Information System is the federal name FACES is our current systems name this is the the FACES is our current case management system for child welfare. We are looking at replacing that system this is 7.3 million dollars for the replacement of that system it's coming from the budget stabilization fund and 610 fund the budget stabilization fund would be the match and so this is ongoing for looking at this program in the future we are making taking a step back,True,Comprehensive Child Welfare Information System is the federal name FACES is our current systems name this is the the FACES is our current case management system for child welfare.,True,name the Comprehensive Child Welfare Information System is the federal name FACES is our current systems name this is the the FACES is our current case management system for child welfare. We are looking at replacing that system this is 7.3 million dollars for the replacement of that system it's coming from the budget stabilization fund and 610 fund the budget stabilization fund would be the match and so this is ongoing for looking at this program in the future we are making taking a step back,dss-non-medicaid-pt2
316,in the future we are making taking a step back and making sure we're taking the right approach with the RFP and following making sure we're making good decisions on this. So I thought we were going like for COTS type product originally is that still not the case or I think and I don't know where it's gonna end up we've been looking at doing an RFP and a COTS and things like that I think with the new director okay so with the COTS for CWIS we have a couple of different options but the ones that,True,So I thought we were going like for COTS type product originally is that still not the case or I think and I don't know where it's gonna end up we've been looking at doing an RFP and a COTS and things like that I think with the new director okay so with the COTS for CWIS we have a couple of different options,True,So I thought we were going like for COTS type product originally is that still not the case or I think and I don't know where it's gonna end up we've been looking at doing an RFP and a COTS and things like that,dss-non-medicaid-pt2
