chunk_id,chunk_text,manual_it_spend_tag,manual_relevant_text,notes
1,"Okay, House Budget Committee will come back to order. Mr. Luebbering, if you would continue, thanks for joining us once again. Patrick Luebbering and Kim Evans did have to leave. She unfortunately had to attend a funeral tomorrow in Kennett, so she needed to get on the road for that. All right, so we left off on page 409. This was one-time funding added in 25. It's zeroed out, and it is for Matty Road Center for a project that uses a holistic approach to individual and family well-being through services and behavioral health counseling. Next one is page 415. This again is a one-time program funded in FY25. It was not funded in 24, but it was previously funded in FY23. This is for a Better Family Life program that seeks to provide exposure to foreign arts, creative development, film, media industry, and customer service fields, and it is zeroed out again for this year. Representative Murray, you have an inquiry. You may proceed. Yeah. Thank you, Mr.",FALSE,,
2,"Chair. In regards to Better Family Life, I'm curious, similarly along the same lines of how you spoke to why this one is zeroed out, I see in FY23 and then there is a gap in FY24. Can you speak to why there is a gap in terms of the funding? Yeah. So, typically, these are, many of these items are ones added by the General Assembly as a one-time, so what happens is they are automatically cut during the partner request, and then basically in the past, it's kind of been sort of, if the General Assembly wants to fund it again, then they can choose to fund it and make that decision, so it kind of leaves the decision making authority back in your hands each year. Okay. And, you know, if they want it ongoing, then, you know, they'll put it in as ongoing, but otherwise, you know, we respect what they put in as a one-time, and we'll leave that decision up to them the next year. Okay.",FALSE,,
3,"That's fair. I just know, like, with the Better Family Life, they just provide, you know, so many resources in terms of job training for, and support services for almost, like, 2,000 individuals annually. Yeah.",FALSE,,
4,"And I believe, if I'm correct, we have other... Carry on. We do. We have other... We'll get to that. Okay. We have other contracts with Better Family Life, too. Okay. This is just one program, so this is not all of our funding. Okay. We can get that for you, if you'd like, because all funding we give to Better, or the state funds. That's fair. And I would assume this one is more in regards to the exposure, like, to performing arts or creative development. Yeah. It's a specific program within Better Family Life. Okay. I'll take a look at it in the program book. Thank you. Mm-hmm. All right. That is it for book number two. We will move on to book three of eight. First page is on page 421. This is ongoing funding for Annie Malone for the Economic Mobility Program. It offers a comprehensive initiative empowering youth and families through viable employment, support, and personal growth, including behavioral health and substance abuse services. It is $2 million of TANF for FY26. All right. Next section is page 427. This was a one-time in FY25, zeroed out for FY26. This is for The Village. It's a nonprofit organization in St. Louis metropolitan community that provides real life experience, safe spaces to explore healthy peer-to-peer relationships, and the cultivation of strong and sustainable work ethic. Next page is page 433, Powerhouse in Columbia. This is ongoing funding of $500,000 TANF. This is for a healthy marriage and fatherhood initiative program that connecting fathers to resources to help provide financial assistance. When they say financial assistance, that's the child support payment. Enabling them through different services to help connect them with their child and connect them with services that enables them to help meet their child support obligations. Representative Lewis, do you have an inquiry? You may proceed.",FALSE,,
5,"Thank you. This is actually kind of a global question for some of these items, like the healthy marriage and fatherhood. There's several of these really good programs that are out there. It's $2.5 million as allocated. I'm all for it. How is that going to get out the door? Is it going to go through a community partnership to get to the final recipient, or is it going to be directly allocated from the Department of Social Services? This one we allocate out directly to the Powerhouse. We have an existing contract with them. I believe this is the one we do have a contract directly with the Powerhouse community development on this. This one doesn't run through, but several other ones do run through community partnerships. This one, the healthy marriage and fatherhood one, that was the one I was actually thinking I was talking about. We do have, and that's later on in the book, the $2.5 million. That one is bid out by region. I just know when I was looking back through these, one of them was the fatherhood one. That one went through a community partnership to be allocated. When it goes through the community partnership, then they take a percentage instead of you giving it directly to them? On those, when we're working through the community partnerships, they do get a percentage for the administration that normally on some of these programs for compliance, for helping them set up the budget for oversight that we pass on to the community partnerships. They're basically doing tasks that we would normally have to do or taking on responsibilities we normally would. Would you be able to do it more efficiently? Without knowing what they do, I don't know. If we take that burden on, we are going to have to have some additional resources to do the monitoring. On a lot of these programs, a lot of these smaller entities have never had federal funds before. There's a lot of strings. There's a lot of- When there's some that are larger, like a $7 million ongoing appropriation that we've done for the last five years, that's $700,000 a year. Those type of things require almost no- We'd still have to do the compliance piece because we are required to compliance them and do the auditing piece. On some of those, yeah, it would be easier. We would need the authority within statute. You'd need a bill that says you have the right to do that, the ability to do that? Yeah, along with additional staff and compliance resources and monitoring. Somebody's got to do the work right now. Community Partnerships is doing that work. Without using them, we would have to do that work. I won't belabor that point tonight because you know I'm going to ask about that multiple times so I won't. I've just asked once and I won't beat that dead horse until a future date. Okay, I appreciate that. We've had conversations. Because I'm looking at 10.30. That's when I've got for time getting out here. I understand your point. All right, the next section, this is on page 439, the Healthy Fatherhood Program. This is $2.5 million. This goes back to Senate Bill 24 that was passed in FY17 regarding the TANF program that a certain amount of the TANF funds be set aside for a fatherhood program. These are bid out by region and competitively bid. Next page is page 445. This is Adult Supplementation Grant. This is a set grant amount. This was started in 1973. It can only go down when there were some changes back then, individuals due to the Social Security change order that were placed in this new program. There can be no new members in the Adult Supplementation. They were all fathered in. Some of them were children. Eventually this program will go away. There's only one way out of the program. All right, next is Cabralo, I believe it is. You have an inquiry, you may proceed. Thank you, Mr.",FALSE,,
6,"Chair. When you said that, so there's only so many in there, then why do we have any, and this is just me thinking, I'm sure it doesn't fit government thinking probably, but if we have $10,000, why don't we spread it out amongst those that are there instead of having $3,060 unexpended? So they got a set amount, so it was like a hold harmless, so when they moved from the Social Security, and that was way before my time in 73, but basically they were receiving assistance that basically changed. So all these were grandfathered in at a certain amount. Thank you. All right, next section is on page 450, the Life Unlimited Housing. This is a one-time for FY25. For $5 million it is zeroed out. This is funding to the Life Unlimited Housing Projects, we did have a misspelling on that on page 450, for the construction of a building to serve individuals with intellectual and development disabilities. So that is one time, I believe it was GR for last year to construct that building. Next section is page 455, this is Supplemental Nursing Care Program. So these are Medicaid-eligible individuals placed in supplementalnursing care facilities so not the nursing homes what the idealist program is is to keep them at a lower level so they're not in a more expensive nursing home care they receive there's a they receive around $390 a month for certain facilities if it's a assisted living facility an RCF to a residential care facility it's $292 and a residential care one RCF one is $156 in addition these people get a $50 stipend for personal needs monthly it does not receive Medicaid because it's not a Medicaid eligibility placement but overall the state saves money by having them in this lower costed assisted living facility and that is 25.4 million GR this had been you look on to 456 you know the past three years it's been decreasing a little bit now you look at your year-to-date expenditures you're at about 12 million and so maybe you're actually gonna get closer to that 24 or 25 million dollar appropriation Authority level for fiscal 2025 you keep on that pace but just curious is the trend there what it would suggest looking to the past three years or is that just a bit of anomaly that I think it goes hand-in-hand with the nursing home census I think some of this fell during COVID and we had some you know just my opinion this program over the last 15-20 years has kind of been fairly stable it goes up a couple million it goes down a couple million but you're right right now the trend is it's it's a little bit lower than it has been in the past. Very good, thank you. And also if there's a closing of nursing homes it could have an impact in this section too as people move out of there they'll move into here so or vice versa. And there's nothing here that we can use as far as you know matching towards drawing any federal dollars or is this a MOE situation or help with that? There is a program we've been looking at that was proposed last year there was a some transfer money in the budget between here and Medicaid that is certain of these services could be deemed Medicaid eligible in there that you may be able to lower this amount but then have them bill us for certain Medicaid allowable services because the placement itself is not Medicaid but services provide them could be Medicaid eligible. Yeah we there was a bill I don't know if you remember this Pat I think I might even carry it that we passed a couple years ago and I feel like it was because the rate was statutorily set and it kind of took that off and it made it subject to appropriation I feel like this is the section the idea was that maybe some there could be some federal as well but anyway not yet I guess is the answer if ever. So we do just a kind of tie this all in we do capitalize on what we can in Medicaid there may be more but a lot of the any of the Medicaid funded services flow through 10.810 in home and community-based services and health and senior services so the state plan personal care program is allowed to be billed in an RCF or an ALF and so anything any of the personal care tasks that an individual is eligible for in the RCF that RCF can bill Medicaid for. All right next section is on page 461 this is a blind pension grant this is funded by three cents on each $100 valuation on taxable property this is passed on to the blind pension or the blind population or service visually impaired they receive a monthly grant the current monthly grant is around $789 and we do have a rate increase for this. Representative Young you have an inquiry you may proceed.",FALSE,,
7,"Yes thank you Mr. Chair. Quick question how many blind pension recipients do we have in the state? Right now there's around 3,259 that are receiving the pension or that was as of 2024. Okay thank you. And that is 40.5 million and it comes from the blind pension fund. The next section is on page 467 and that is for a rate increase of three million two hundred and sixty seven thousand dollars blind pension this would be fund an eighty nine dollar rate increase and take the rate up to eight hundred and twenty eight dollars right I'm sorry it goes from 828 to 917 so the current grant was 828 that was a previous year's grant so look at the wrong year and 24 was 79 89 and 25 is 828 and this would take it up to 917 this is required that we request this per statute it is based on the growth in the fund roughly 75% of the growth in the fund goes towards a rate increase previously it was mandated that we give this there was some adjustment to the statute a few years back along with some of the visual requirements to be in the program because there were some abuse that we're refining out and so this changes that we have to request it but you do not have to fund it anymore forget the funding or not I mean the you lapsed over seven million dollars last year could the could the rate increase not be absorbed in the core that we just looked at or it so it could be but we have to request it in a new decision item so if we don't grant this increase then you're not going to pay the increase even if the corporation Authority would allow it correct because during the lawsuit which was around ten years and I was part of there was some the courts looked at the budget books all the way back to 1992 to determine the intent of the General Assembly so we've been always very careful since that time to put the rate increase as a new decision item so the intent of the General Assembly can be easily ascertained now if you were looking at the core and but you're right I mean there's enough dollars there and stuff to absorb that rate Thank You representative a hue you have an inquiry you may proceed well I thought mr. chair that you would ask the question but now think I'm confused so we statutorily required to raise at a particular rate we are statutorily required to request it to request it yes okay the lapse more than accounts for any raise that would be required because of that right but because we're statutorily required to request it we've got the NDI correct okay so we don't need the NDI in plain language we would need the NDI to show that you approve the rate increase I understand that part of it but when the real when the rubber meets the road we don't need that increase that NDI increase there's yeah there's sufficient dollars there that would support that increase correct I like the way you said that yeah but I and in we had a long lawsuit and I'm a little bit have a little bit I understand yes and a very and not very but tangentially familiar with what you're talking about because basically not to belabor the point but I think that was their point is oh well you had dollars in your core you could have just went ahead and did that without the General Assembly's consent we said no and so we spent many years arguing over 15 years worth of budget books I understand thank you mr. chair if there was language such that define the rate that could be intent could it not I would have to talk to the lawyers oh okay I mean I do not want to get in trouble with this one again yeah sure well we don't want to run afoul the law you know but I'd say if we write the law as such that prescribes a particular rate and if the authority could support a particular rate I mean if that ain't intent I don't know what is but anyhow I realize I'm not a lawyer and the common-sense side of me would agree with you on that sure yeah well you're not a lawyer either no that's a feature not a bug perhaps so representative Mayhew does not he had his inquiry we'll go to representative Chapel now if he still has inquiry it's getting late yes sir yeah go ahead representative Chapel thank you mr. chair it is getting late I don't mean to prolong the issue you can't increase the rate unless the NDI is approved I'm not trying to trip you up I'm really not I'm so I would say based on the lawsuit we have taken the approach to always ask for a new decision item because if so say we didn't ask for the NDI and we gave a rate increase this year next year we don't ask for an NDI and we don't give a rate increase so first of all we have to ask for the NDI per the statute but if we do it with or without your permission that would set a different precedent I think by law but again I'm not a lawyer so what if we granted the NDI but for just for the sake of argument a dollar as long as it was clear what the rateincrease in the NDI I think was fine. Or you could go back and just cut the core if that's what you want. And it would still have the same impact. So if we cut the core by this amount and then increase the NDI and approve the NDI, then we would be able to get it done? Okay.",FALSE,,
8,Yeah.,FALSE,,
9,"All right. And again, with all the legal stuff that's went on with this, I hate to give a definitive answer. Well the one thing I know about attorneys, absolutely so, is that half of them are wrong every day. Because one wins and one loses. So you know, I don't want to run afoul of the law either, but that makes some sense to cut the core and then approve the NDI. Maybe.",FALSE,,
10,"All right, sir. Thank you. Okay. Anybody else want to try this one? All right. Very good. You may continue. Thank you. Thank you. Next is the Blind Administration. It's for 5.8 million dollars, a hundred and two FTE, and 1.2 million dollars general revenue. So this is our vocational rehabilitation services for the blind. They work for individuals with, that are visually impaired, to help them obtain jobs, obtain employment, and to also, they also do some independent living skills with individuals that are visually impaired. So on the, this is the staff and the administration portion. On the next page is, or on the page 478, these are the program dollars so that we have to purchase things, provide them with actual outside training. This is the service of visually impaired money that goes along with that. It's 8.4 million total and 1.5 million GR. Representative Mayhew, you have an inquiry, you may proceed. Thank you, Mr.",FALSE,,
