chunk_id,chunk_text,manual_it_spend_tag,manual_relevant_text,notes
1,"We will go ahead and call the Senate Appropriations Committee to order this morning. We've got the Department of Labor and Industrial Relations, I think Ag and Corrections, is that right? I don't know where Adam went. Is that right, Sarah? Yes?",FALSE,,
2,"Okay. So why don't we get started just because I think we've got the books situated this way on our desks for our robust committee this morning. We'll start with the Department of Labor. And then just a quick reminder, unless committee members have specific questions as we go through this, we generally just ask the departments to hit on core changes and new decision items. Okay? Should I do my opening statement? If you want to, sure. Great. Welcome. All right. Good morning, Mr. Chairman, Ranking Member, and members of the committee. Good morning again. Thank you so much for the opportunity to present the FY26 Budget Request for the Missouri Department of Labor and Industrial Relations. I'm Anna Hugh, Department Director, and with me at the table is Julie Kuhn, our agency's Chief Fiscal Officer. In addition, some members of our executive team are also here with us today. I'm Deputy Director Matt Hankins, Division of Employment Security Director Alan Andrews, Division Workers' Compensation Acting Director Ben Qualls, Missouri Commission on Human Rights Executive Director Dr. Elisa Warren, the Labor and Industrial Relations Commission Chairman Rodney Campbell, and the Department's Legislative Liaison Stephen Merriam. This year's budget request is for $384.6 million and $788.63 FTE. The funding sources are 1.22% GR, 29.5% federal, and 69.28% other funds. Starting with the Department Director's Office, which includes administration, the Office of General Counsel, communications, and strategic planning, we have 51.63 FTE in our funding through a combination of sources, including GR, federal funds, and other funds. These units provide the services that support the entire agency in the areas of accounting, communications, facilities management, human resources, legal services, procurement, staff training, strategic planning, supplies, and website management. Dolder's largest division is the Division of Employment Security, led by Director Alan Andrews, with 519.72 FTE, and is almost completely federally funded. DES administers unemployment benefits, disaster unemployment, shared work, the war on terror unemployment benefits, collection of unemployment insurance taxes, and employment training. Starting calendar year 2023, the Division's Unemployment Automation Fund began receiving funds. These funds allow the division to maintain a modernized, secure, efficient, and customer-friendly platform for the unemployment insurance program now and into the future. Utilizing this fund, along with federal funding, DES has moved U-Interact, Missouri's web-based unemployment insurance program, to the Amazon Cloud to improve system performance and scalability, making U-Interact the largest Missouri state government application hosted in a cloud environment. We are currently in the process of modernizing the system foundation, which will strengthen the agency's ability to continually innovate. Not only has the division continued its commitment to a modern, responsive unemployment insurance program for all Missouri citizens, it's also committed to maintaining the proper balance between the health of the UI Trust Fund and the tax levied on employers that fund the program. I'm excited to report that in calendar year 2025, a 12 percent rate reduction will be applied for the majority of contributing employers, and the taxable wage base for employers will be reduced by $500 to $9,500 for calendar year 2025. The department's second largest division is the Division of Workers' Compensation, led by Acting Director Ben Qualls, with 139.25 FTE, and is supported by other funds, primarily the Workers' Compensation Administration Fund. This division is responsible for assisting injured workers and their employers, resolving disputes between workers, employers, and insurers, the Tort Victims' Compensation Program, line-of-duty payments, second injury fund claims, and adjusting the workers' compensation surcharges. The DWC continues to work on Work Comp Connect, a multi-year modernization project to streamline processes and automate many facets of the Work Comp Program, improving citizen engagement with the division and efficiency across all the administration of the program. Phase one is scheduled to go live in December of 2025, and will include functionalities for case management, medical fee disputes, adjudication, benefit administration, and order entry. Our third largest division is the Division of Labor Standards, led by Director Logan Hobbs, with 37.22 FTE, and funded through GR, federal funds, and other funds. It's comprised of the Wage and Hour Division that covers youth employment, minimum wage overtime, and prevailing wage, three work safety programs, on-site safety and health consultation program, worker safety program, mine and cave safety program, as well as our research and analysis unit. The SAFE at Work Program, which is a collaboration between the Divisions of Workers' Compensation and Labor Standards, is in its fifth year, resulting in workplace data and informational publications that provide businesses educational materials on how to improve their workplace safety. The mine and cave safety program continues to offer training to miners, mine owners, operators, and contractors, and the on-site safety consultation program visits workplaces to partner with them to identify and correct hazards, and award Missouri businesses that model exemplary safety standards. The next three units are three independent commissions for which DOLER handles all administrative functions. First, is the Missouri Commission on Human Rights, headed by Executive Director Dr. Elisa Warren, has 25.7 FTE, and receives both GR and federal funds. This independent commission works to eliminate discrimination in housing, public accommodations, and employment. They investigate complaints of discrimination in those three areas, and enforce the Missouri Human Rights Act. They also work with the independent Martin Luther King Commission. The State Board of Mediation is led by Acting Chair Logan Hobson, has 1.5 FTE, and is GR funded. They work with public employers and employees on the designation of the employee groups who wish to be represented by unions, hold certification elections, and certify the election results. Our appellate body is the Labor Industrial Relations Commission, chaired by Rodney Campbell, and has 13.59 FTE, and is funded by a combination of GR, federal, and other funds. The LIRC handles appeals from administrative decisions and workers' compensation, unemployment compensation, tort victims' compensation, and prevailing wage. As Governor Kehoe mentioned in his State of State address, he expects his administration to work at the speed of business. To meet that objective, our focus as a department has been to utilize data-driven solutions to better meet the needs of our citizens, and to prepare and address the challenges before us. This not only means including an emphasis on program administration, solution innovation, and delivery of benefits and services, but also a concerted effort to provide impactful improvements and support our state workforce. We are thankful for the investments Governor Kehoe has proposed to improve compensation benefits and professional development opportunities that make a difference in state workforce retention, recruitment, succession planning, and professionalism. These all provide resourcing and support to deliver good, consistent citizen service. I'm proud of the work we've done, and are doing better to serve people across Missouri, improve program administration and access through technology, and foster a culture of professionalism and excellence in our workforce. We'll now present the department's FY26 budget with all the NDIs that were in Governor Kehoe's proposal. At this time, I invite Julie Kuhn to assist me with continuing the budget presentation, and we can answer specific questions as we go through the budget. Thank you, Director Hugh. Just to clarify real quick, I think you welcomed our ranking minority member. She's not actually here. She's not here yet. No. Okay. But Rusty's here. He's the vice chair. Yes, vice chair. Yeah. Thank you very much. Julie, whenever you're ready. Thank you. Good morning, Mr. Chairman, committee members. My name is Julie Kuhn. I'm the chief fiscal officer for the Department of Labor and Industrial Relations. Before we get started going through the department's budget book, I would like to cover the department's flexibility requests and summarize overall core reductions found in our FY26 requests. The department's flexibility includes 10 percent for the Division of Labor Standards Programs, State Board of Mediation, Commission on Human Rights, the Labor-Industrial Relations Commission, as well as in FY26, the department's also asked for 10 percent flexibility for the Division of Workers' Compensation funds. The department also has 25 percent flexibility for the Division of Employment Security and is requesting 25 percent for the Division of Labor Standards On-Site Program. The department's overall core reductions in the FY26 budget total $22 million in federal and other funds and $200,000 of general revenue. The department's first new decision item can be found on page 2 of your budget book. This is the department's statewide time of service adjustment for full-time state employees, includes a 1 percent increase for every 2 years of state service with a cap of 10 percent for 20 years of state service. The governor recommends this new decision item totals $838,451 of general revenue, federal and other funds. The second new decision item can be found on page 9 of your budget book. This is the general revenue pickup item for the statewide pay plan just discussed. The request is needed from general revenue due to fund solvency issues or federal funds that just have not been awarded through our grants. The governor's recommendation for this totals $1.7 million of general revenue. Our first core item with changes can be found on page 13, or I'm sorry. The next new decision item is found on page 20 of your budget book. This is the new decision item for the dolar department director salary increase. It provides appropriation authority to increase the salary for our department director, and the governor's recommendation totals $10,000 in federal funds. Our first core item with changes is the administrative fund transfers. They can be found on page 22 and 29 of your budget book for a combined total of $16 million. This core does include some reallocations between federal and other funds that just align the authority with plan spending based on our timesheet data and our approved cost allocation plan. On page 35, the labor industrial relations commission totals $1.2 million of general revenue, federal and other funds, and 13.59 FTE. This core, too, also has core reconciliations between federal and other funds that are going to align with plan spending based on our approved cost allocation plan. The next core with new decision item is found on page 83. This new decision item is for the administrative law judge salary increase. The new decision item totals $50,000 in other funds, and is to adjust the salary for the administrative law judges to align with the associate circuit court judge salaries. So can I ask a question there? Are we, so we've got an additional increase for the ALJ's salary on top of the governor's up to 10%? So the ALJ salaries are statutory set salaries, and they're not included in the statewide. Oh, so they're not included on, see, I feel like we've included them on the increases, right? Yes.",TRUE,"Starting calendar year 2023, the Division's Unemployment Automation Fund began receiving funds. These funds allow the division to maintain a modernized, secure, efficient, and customer-friendly platform for the unemployment insurance program now and into the future. Utilizing this fund, along with federal funding, DES has moved U-Interact, Missouri's web-based unemployment insurance program, to the Amazon Cloud to improve system performance and scalability, making U-Interact the largest Missouri state government application hosted in a cloud environment. We are currently in the process of modernizing the system foundation, which will strengthen the agency's ability to continually innovate.",
3,Aha.,FALSE,,
4,"Yep. So they're statutorily tied, unless we appropriate extra money, which we've done historically. So there's been years where there's been an increase that included the ALJ's and years that weren't. So the last couple of years, increases did, in fact, include, right, because they're all state employees. Right.",FALSE,,
5,"But this time, did not. Got it. Okay. Thanks.",FALSE,,
6,"You bet. Our next core decision item with changes includes the workers' compensation administrative fund, I'm sorry, second injury fund. The governor's recommendation for this core is for $75 million of other funds and no general revenue. It does include a reduction of $10 million due to decreasing second injury fund claim payments. The next core with changes is found on pages 97 and 103. This is the line of duty compensation transfer and payment core. The FY26 budget includes a reduction of $200,000 to align the authority with the anticipated spending. The next core with changes includes the Division of Employment Security Administration. It's found on page 122. The governor's recommendation totals $81.4 million of general revenue, federal, and other funds. And in FY26, we are requesting a reduction of $12 million in federal funds due to the CARES Act funds, administration dollars that have now ended. And that is the last core with changes from last year's budget. Fantastic. Any questions from the committee? Seeing none, appreciate it. Director, thanks for being here. Thanks, Julie. Next up on my stack of books here is Ag. Chris, whenever you're ready. Director Chen. Thank you. Thank you, Mr. Chairman. Good morning, Director. Good morning. How are you? I'm good. How are you? Good. Thank you to the chairman and members of the committee for allowing us to be here this morning. Agriculture is a $93.7 billion industry. At the Department of Agriculture, we have five divisions and four boards and commissions. I think most of the members here have heard about the Agriculture Committee or the Department of Agriculture before, so if it's okay, I will skip the department overview unless you want me to continue on. Nope.",FALSE,,
7,"I think that's great. Okay. So we will hand it over to Amanda Kelly, my budget director, and let her start. It's a familiar face to some of us on the committee who you stole from us. Yes, sir. I'm sorry. Yeah. Good morning, committee. Amanda Kelly, budget director. We'll start with the first NDI, the statewide pay plan on page two. The governor recommended a total of $850,358 for the time of service pay increase. On page eight, a GR pickup for the statewide pay plan. This is $374,840 GR to support funds that require additional revenue, helping to cover the costs of the time of service pay plan. On page 20, we have an NDI for Microsoft license costs. The governor did not recommend this NDI. And the license is going to expire? No. So we were all required to get Microsoft Office and then the update, and so this was an NDI to cover some of those costs. What we found out was that OAITSD actually put in an NDI to cover some of these costs, so this wasn't necessary. The remaining amount that they didn't get for us to cover in FY25, they are going to request for in FY26 as well. Got it.",TRUE,"On page 20, we have an NDI for Microsoft license costs. The governor did not recommend this NDI. And the license is going to expire? No. So we were all required to get Microsoft Office and then the update, and so this was an NDI to cover some of those costs.",
8,"Okay. Thanks, Amanda. You're welcome. On page 22, we have an NDI for the resilient food system infrastructure grants. This NDI is for the remaining $6.1 million federal authority for the four-year cooperative agreement to be expended on middle of the supply chain equipment and infrastructure grants. The application process was complete in March of 2024. We have applicants scored and submitted to USDA. Once we receive the full spending authority, we will have approximately two years left for awardees to complete these projects and get this funding expended. On page 25 is an NDI for the director's salary increase. The governor requests a total of $10,000 utilizing federal and other funds. On page 76 is an NDI for the FFA foundation. The governor recommendation is for 800,000 GR to go towards the competitive local secondary school grants for update or improvement needs to support existing high school agriculture education programming or to launch new high school agricultural education departments and programming. On page 121 is our animal health core. This isn't actually, it shows that there was $100,000 reduction in the request for federal authority. I just wanted you guys to know this wasn't actually a reduction.Something in the system made a change and it didn't actually reduce our one time from last year, and so they had to do a push between the department REC and the GOV REC to remove that. So, the GOV REC is what actually we ended with in FY25. That has nothing to do with that new accounting software movers? I mean, just a little bit, maybe. Okay. Thank you.",FALSE,,
9,"You're welcome. On page 130, we have an NDI for a reduction correction. The governor requested GR a $59,260 to correct a reduction that stayed in the budget when the NDI was removed in FY25. This NDI was for our meat and poultry inspection team. The funding source was GR changed to APF, back to GR and back to APF, and then all those funds switched when it got vetoed and everything, it didn't get removed. So, our core got reduced when it shouldn't have. And this is just to correct that. Okay. Was that another movers issue? No. Okay.",FALSE,,
10,"No, that one's not. On page 136, we have an NDI for the meat and poultry inspection team. The total $30,871 in Fort FTE will allow the program to expand so that they can meet the demand of inspections being requested through the state of Missouri. We have approximately six establishments who have submitted applications and nine establishments that would like to increase coverage. On page 140 is an NDI for a disease control specialist within the animal health division. This request for $105,822 in one FTE recommended by the governor is to assist with demands and preparation in response to animal disease events. There is an NDI for replacement vehicles for a meat and poultry inspection team on page 144. This NDI was not recommended by the governor. On page 147, we have an NDI for the federal authority in the animal health division. The recommendation from the governor is for $900,540 of federal authority. This will allow the division to add two annual federal agreements and to extend three agreements and then to finalize the American recovery plan agreement that had a delay in spending. On page 179, we have an NDI for a core increase in the grain inspection services. This recommendation is for 75,000 GR to cover the increased cost of supplies with the declining export markets where the program receives its revenue. This request is to moderate fee increases to Missouri farmers and commercial grain industry. On page 217 is an NDI for a vehicle replacement authority in the waste measures and consumer protection division. This request is for $275,850 to replace four trucks used by the inspectors in the fuel device safety and accuracy program. On page 239 is another NDI and this is to increase spending authority for the Missouri state fair. This request for $300,000 of appropriation authority recommended by the governor is to help cover the increased cost from inflation, general contract rebids, the new arena, the new campsites and general maintenance to support operations. And our remaining NDI is on page 242 and that is for two additional maintenance grounds workers at the Missouri state fair. This recommended by the governor to help with upkeep, general maintenance around the fairgrounds and assistance with maintenance in the new arena and campsite areas. And with that, that is the Department of Agriculture's NDIs. Any questions, sir? Yeah. Thanks, Amanda. I didn't see you in here and I just, I don't remember if we did this or not. Did you put in, or is there a request for a couple of additional livestock marketing folks that sit around at the sale horns? We did that last year, right?",FALSE,,
